id,Question ID,Question Title,Question Slug,Question Text,Topic Tagged text,Difficulty Level,Success Rate,total submission,total accepted,Likes,Dislikes,Like / Dislike Ratio,Hints,Similar Questions ID,Similar Questions Text,title lowercase
0,1,Two Sum,two-sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. You can return the answer in any order. ","Array,Hash Table",Easy,48.5,13207990,6403821,31242,988,0.96934533,"A really brute force way would be to search for all possible pairs of numbers but that would be too slow. Again, it's best to try out brute force solutions for just for completeness. It is from these brute force solutions that you can come up with optimizations. So, if we fix one of the numbers, say x, we have to scan the entire array to find the next number y which is value - x where value is the input parameter. Can we change our array somehow so that this search becomes faster? The second train of thought is, without changing the array, can we use additional space somehow? Like maybe a hash map to speed up the search?","15,18,167,170,560,653,1083,1798,1830,2116,2133,2320","3Sum,4Sum,Two Sum II - Input Array Is Sorted,Two Sum III - Data structure design,Subarray Sum Equals K,Two Sum IV - Input is a BST,Two Sum Less Than K,Max Number of K-Sum Pairs,Count Good Meals,Count Number of Pairs With Absolute Difference K,Number of Pairs of Strings With Concatenation Equal to Target,Find All K-Distant Indices in an Array",two sum
1,3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,"Given a string s, find the length of the longest substring without repeating characters. ","Hash Table,String,Sliding Window",Medium,33,9621884,3175843,22941,1027,0.957151202,,1.59E+17,"Longest Substring with At Most Two Distinct Characters,Longest Substring with At Most K Distinct Characters,Subarrays with K Different Integers,Maximum Erasure Value,Number of Equal Count Substrings",longest substring without repeating characters
3,2,Add Two Numbers,add-two-numbers,"You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list. You may assume the two numbers do not contain any leading zero, except the number 0 itself. ","Linked List,Math,Recursion",Medium,38.5,6987977,2690949,17799,3682,0.82859271,,"43,67,371,415,445,1031,1774","Multiply Strings,Add Binary,Sum of Two Integers,Add Strings,Add Two Numbers II,Add to Array-Form of Integer,Add Two Polynomials Represented as Linked Lists",add two numbers
4,15,3Sum,3sum,"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j, i != k, and j != k, and nums[i] + nums[j] + nums[k] == 0. Notice that the solution set must not contain duplicate triplets. ","Array,Two Pointers,Sorting",Medium,31,6090299,1886780,17218,1653,0.912405278,"So, we essentially need to find three numbers x, y, and z such that they add up to the given value. If we fix one of the numbers say x, we are left with the two-sum problem at hand! For the two-sum problem, if we fix one of the numbers, say x, we have to scan the entire array to find the next numbery which is value - x where value is the input parameter. Can we change our array somehow so that this search becomes faster? The second train of thought for two-sum is, without changing the array, can we use additional space somehow? Like maybe a hash map to speed up the search?","1,16,18,259","Two Sum,3Sum Closest,4Sum,3Sum Smaller",3sum
6,5,Longest Palindromic Substring,longest-palindromic-substring,"Given a string s, return the longest palindromic substring in s. ","String,Dynamic Programming",Medium,31.8,5618701,1784028,17097,1005,0.944481273,"How can we reuse a previously computed palindrome to compute a larger palindrome? If aba is a palindrome, is xabax a palindrome? Similarly is xabay a palindrome? Complexity based hint: If we use brute-force and check whether for every start and end position a substring is a palindrome we have O(n^2) start - end pairs and O(n) palindromic checks. Can we reduce the time for palindromic checks to O(1) by reusing some previous computation.",2.14E+14,"Shortest Palindrome,Palindrome Permutation,Palindrome Pairs,Longest Palindromic Subsequence,Palindromic Substrings",longest palindromic substring
7,20,Valid Parentheses,valid-parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if: ","String,Stack",Easy,40.9,5271267,2154237,12523,554,0.957635543,"An interesting property about a valid parenthesis expression is that a sub-expression of a valid expression should also be a valid expression. (Not every sub-expression) e.g.


{ { } [ ] [ [ [ ] ] ] } is VALID expression
          [ [ [ ] ] ]    is VALID sub-expression
  { } [ ]                is VALID sub-expression


Can we exploit this recursive structure somehow? What if whenever we encounter a matching pair of parenthesis in the expression, we simply remove it from the expression? This would keep on shortening the expression. e.g.


{ { ( { } ) } }
      |_|

{ { (      ) } }
    |______|

{ {          } }
  |__________|

{                }
|________________|

VALID EXPRESSION! The stack data structure can come in handy here in representing this recursive structure of the problem. We can't really process this from the inside out because we don't have an idea about the overall structure. But, the stack can help us process this recursively i.e. from outside to inwards.","22,32,301,1045,2221","Generate Parentheses,Longest Valid Parentheses,Remove Invalid Parentheses,Check If Word Is Valid After Substitutions,Check if a Parentheses String Can Be Valid",valid parentheses
8,53,Maximum Subarray,maximum-subarray,"Given an integer array nums, find the contiguous subarray (containing at least one number) which has the largest sum and return its sum. A subarray is a contiguous part of an array. ","Array,Divide and Conquer,Dynamic Programming",Easy,49.5,4544146,2249144,19877,969,0.953516262,,1.21E+20,"Best Time to Buy and Sell Stock,Maximum Product Subarray,Degree of an Array,Longest Turbulent Subarray,Maximum Absolute Sum of Any Subarray,Maximum Subarray Sum After One Operation",maximum subarray
9,98,Validate Binary Search Tree,validate-binary-search-tree,"Given the root of a binary tree, determine if it is a valid binary search tree (BST). A valid BST is defined as follows: ","Tree,Depth-First Search,Binary Search Tree,Binary Tree",Medium,30.5,4483144,1365470,9434,874,0.915211486,,94501,"Binary Tree Inorder Traversal,Find Mode in Binary Search Tree",validate binary search tree
11,4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,"Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays. The overall run time complexity should be O(log (m+n)). ","Array,Binary Search,Divide and Conquer",Hard,34,3941694,1340565,15987,1964,0.890591053,,,,median of two sorted arrays
12,14,Longest Common Prefix,longest-common-prefix,"Write a function to find the longest common prefix string amongst an array of strings. If there is no common prefix, return an empty string """". ",String,Easy,39.3,3891029,1529495,7636,2930,0.722695438,,,,longest common prefix
13,121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,"You are given an array prices where prices[i] is the price of a given stock on the ith day. You want to maximize your profit by choosing a single day to buy one stock and choosing a different day in the future to sell that stock. Return the maximum profit you can achieve from this transaction. If you cannot achieve any profit, return 0. ","Array,Dynamic Programming",Easy,54,3860000,2084089,15488,522,0.967395378,,5.31E+21,"Maximum Subarray,Best Time to Buy and Sell Stock II,Best Time to Buy and Sell Stock III,Best Time to Buy and Sell Stock IV,Best Time to Buy and Sell Stock with Cooldown,Sum of Beauty in the Array,Maximum Difference Between Increasing Elements",best time to buy and sell stock
14,9,Palindrome Number,palindrome-number,"Given an integer x, return true if x is palindrome integer. An integer is a palindrome when it reads the same backward as forward. ",Math,Easy,52.3,3823313,2000757,5593,2094,0.727592039,Beware of overflow when you reverse the integer.,2341375,"Palindrome Linked List,Find Palindrome With Fixed Length",palindrome number
15,33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,"There is an integer array nums sorted in ascending order (with distinct values). Prior to being passed to your function, nums is possibly rotated at an unknown pivot index k (1 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2]. Given the array nums after the possible rotation and an integer target, return the index of target if it is in nums, or -1 if it is not in nums. You must write an algorithm with O(log n) runtime complexity. ","Array,Binary Search",Medium,37.7,3795739,1431906,13769,879,0.939991808,,811532273,"Search in Rotated Sorted Array II,Find Minimum in Rotated Sorted Array,Pour Water Between Buckets to Make Water Levels Equal",search in rotated sorted array
16,21,Merge Two Sorted Lists,merge-two-sorted-lists,You are given the heads of two sorted linked lists list1 and list2. Merge the two lists in a one sorted list. The list should be made by splicing together the nodes of the first two lists. Return the head of the merged linked list. ,"Linked List,Recursion",Easy,60.2,3519901,2118031,11753,1070,0.916556188,,"23,88,148,244,1774,2071","Merge k Sorted Lists,Merge Sorted Array,Sort List,Shortest Word Distance II,Add Two Polynomials Represented as Linked Lists,Longest Common Subsequence Between Sorted Arrays",merge two sorted lists
17,19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,"Given the head of a linked list, remove the nth node from the end of the list and return its head. ","Linked List,Two Pointers",Medium,38.2,3510223,1340984,9607,457,0.95459062,Maintain two pointers and update one with a delay of n steps.,52816182216,"Swapping Nodes in a Linked List,Delete N Nodes After M Nodes of a Linked List,Delete the Middle Node of a Linked List",remove nth node from end of list
18,28,Implement strStr(),implement-strstr,"Implement strStr(). Given two strings needle and haystack, return the index of the first occurrence of needle in haystack, or -1 if needle is not part of haystack. Clarification: What should we return when needle is an empty string? This is a great question to ask during an interview. For the purpose of this problem, we will return 0 when needle is an empty string. This is consistent to C's strstr() and Java's indexOf(). ","Two Pointers,String,String Matching",Easy,35.7,3395848,1213333,3863,3591,0.518245237,,214459,"Shortest Palindrome,Repeated Substring Pattern",implement strstr()
19,35,Search Insert Position,search-insert-position,"Given a sorted array of distinct integers and a target value, return the index if the target is found. If not, return the index where it would be if it were inserted in order. You must write an algorithm with O(log n) runtime complexity. ","Array,Binary Search",Easy,42.3,3247274,1374840,7432,401,0.948806332,,278,First Bad Version,search insert position
20,56,Merge Intervals,merge-intervals,"Given an array of intervals where intervals[i] = [starti, endi], merge all overlapping intervals, and return an array of the non-overlapping intervals that cover all the intervals in the input. ","Array,Sorting",Medium,44.8,3102911,1390388,13083,513,0.962268314,,5.73E+34,"Insert Interval,Meeting Rooms,Meeting Rooms II,Teemo Attacking,Add Bold Tag in String,Range Module,Employee Free Time,Partition Labels,Interval List Intersections,Amount of New Area Painted Each Day,Longest Substring of One Repeating Character",merge intervals
21,88,Merge Sorted Array,merge-sorted-array,"You are given two integer arrays nums1 and nums2, sorted in non-decreasing order, and two integers m and n, representing the number of elements in nums1 and nums2 respectively. Merge nums1 and nums2 into a single array sorted in non-decreasing order. The final sorted array should not be returned by the function, but instead be stored inside the array nums1. To accommodate this, nums1 has a length of m + n, where the first m elements denote the elements that should be merged, and the last n elements are set to 0 and should be ignored. nums2 has a length of n. ","Array,Two Pointers,Sorting",Easy,43.7,3069815,1342555,4189,401,0.912636166,"You can easily solve this problem if you simply think about two elements at a time rather than two arrays. We know that each of the individual arrays is sorted. What we don't know is how they will intertwine. Can we take a local decision and arrive at an optimal solution? If you simply consider one element each at a time from the two arrays and make a decision and proceed accordingly, you will arrive at the optimal solution.",2110191028,"Merge Two Sorted Lists,Squares of a Sorted Array,Interval List Intersections",merge sorted array
22,141,Linked List Cycle,linked-list-cycle,"Given head, the head of a linked list, determine if the linked list has a cycle in it. There is a cycle in a linked list if there is some node in the list that can be reached again by continuously following the next pointer. Internally, pos is used to denote the index of the node that tail's next pointer is connected to. Note that pos is not passed as a parameter. Return true if there is a cycle in the linked list. Otherwise, return false. ","Hash Table,Linked List,Two Pointers",Easy,45.8,3048390,1395560,7823,773,0.910074453,,142202,"Linked List Cycle II,Happy Number",linked list cycle
23,70,Climbing Stairs,climbing-stairs,You are climbing a staircase. It takes n steps to reach the top. Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top? ,"Math,Dynamic Programming,Memoization",Easy,51,2952667,1504735,11310,350,0.969982847,"To reach nth step, what could have been your previous steps? (Think about the step sizes)",74710131236,"Min Cost Climbing Stairs,Fibonacci Number,N-th Tribonacci Number",climbing stairs
25,206,Reverse Linked List,reverse-linked-list,"Given the head of a singly linked list, reverse the list, and return the reversed list. ","Linked List,Recursion",Easy,70.1,2927119,2052205,11446,199,0.982911121,,9.22E+15,"Reverse Linked List II,Binary Tree Upside Down,Palindrome Linked List,Reverse Nodes in Even Length Groups,Maximum Twin Sum of a Linked List",reverse linked list
26,200,Number of Islands,number-of-islands,"Given an m x n 2D binary grid grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically. You may assume all four edges of the grid are all surrounded by water. ","Array,Depth-First Search,Breadth-First Search,Union Find,Matrix",Medium,53.8,2825342,1518896,13254,320,0.976425519,,1.30E+25,"Surrounded Regions,Walls and Gates,Number of Islands II,Number of Connected Components in an Undirected Graph,Number of Distinct Islands,Max Area of Island,Count Sub Islands,Find All Groups of Farmland",number of islands
